batch_size,learning_rate,rank,alpha,parameters,trainable_parameters,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch,eval_loss,eval_accuracy,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second
128,0.0003,1,16,4387202,1024,9.796,1497.751,11.842,3176350571088.0,0.0015771729422026667,4.0,4.59665060043335,0.7156862745098039,0.8047138047138047,1.3034,313.031,3.069
128,0.0001,1,16,4387202,1024,9.8305,1492.504,11.8,3176350571088.0,0.0014663192218747631,4.0,4.589643955230713,0.7107843137254902,0.802675585284281,1.2848,317.559,3.113
128,5e-05,1,16,4387202,1024,9.9693,1471.725,11.636,3176350571088.0,0.0014780351314051397,4.0,4.569336414337158,0.7156862745098039,0.8060200668896321,1.3646,298.984,2.931
128,3e-05,1,16,4387202,1024,9.6368,1522.491,12.037,3176350571088.0,0.001460661662035975,4.0,4.548813819885254,0.7181372549019608,0.8080133555926544,1.3231,308.365,3.023
8,0.0003,2,1,4388226,2048,24.893,589.402,73.756,2622602779104.0,0.001528531856721263,4.0,4.518276214599609,0.7058823529411765,0.7986577181208053,1.9573,208.45,26.056
8,0.0001,2,1,4388226,2048,25.1145,584.204,73.105,2622602779104.0,0.0016587330819734561,4.0,4.483963489532471,0.7107843137254902,0.802013422818792,1.4778,276.089,34.511
8,5e-05,2,1,4388226,2048,24.7732,592.254,74.112,2622602779104.0,0.001689765545537529,4.0,4.477851867675781,0.7132352941176471,0.8040201005025126,1.5048,271.127,33.891
8,3e-05,2,1,4388226,2048,24.7216,593.49,74.267,2622602779104.0,0.0017017721277631187,4.0,4.47619104385376,0.7132352941176471,0.8040201005025126,1.4706,277.441,34.68
16,0.0003,2,1,4388226,2048,16.1058,910.978,57.122,2773841181888.0,0.0023563308560329934,4.0,4.475051403045654,0.7132352941176471,0.8040201005025126,1.3882,293.9,18.729
16,0.0001,2,1,4388226,2048,16.2377,903.577,56.658,2773841181888.0,0.0020955530845600625,4.0,4.479038238525391,0.7132352941176471,0.8040201005025126,1.3586,300.312,19.138
16,5e-05,2,1,4388226,2048,16.4483,892.005,55.933,2773841181888.0,0.0020937009674051534,4.0,4.4771294593811035,0.7132352941176471,0.8040201005025126,1.3615,299.663,19.096
16,3e-05,2,1,4388226,2048,16.7404,876.445,54.957,2773841181888.0,0.00209315898625747,4.0,4.475709438323975,0.7132352941176471,0.8040201005025126,1.3797,295.717,18.845
32,0.0003,2,1,4388226,2048,12.8744,1139.623,35.73,2919802898544.0,0.0013453548369200333,4.0,4.517662525177002,0.7156862745098039,0.8060200668896321,1.4249,286.333,9.123
32,0.0001,2,1,4388226,2048,12.9062,1136.817,35.642,2919802898544.0,0.001388589454733807,4.0,4.490049839019775,0.7132352941176471,0.8040201005025126,1.3448,303.396,9.667
32,5e-05,2,1,4388226,2048,12.8951,1137.797,35.672,2919802898544.0,0.0013749557992686395,4.0,4.48198938369751,0.7132352941176471,0.8040201005025126,1.2796,318.843,10.159
32,3e-05,2,1,4388226,2048,13.0015,1128.487,35.381,2919802898544.0,0.0013673020445782206,4.0,4.47875452041626,0.7132352941176471,0.8040201005025126,1.3356,305.486,9.734
64,0.0003,2,1,4388226,2048,10.3791,1413.613,22.353,3050752493040.0,0.0007911689322570275,4.0,4.490767955780029,0.7181372549019608,0.8086522462562395,1.2796,318.853,5.471
64,0.0001,2,1,4388226,2048,10.1976,1438.773,22.751,3050752493040.0,0.0008543670049001431,4.0,4.477608680725098,0.7107843137254902,0.802675585284281,1.3334,305.99,5.25
64,5e-05,2,1,4388226,2048,10.6385,1379.141,21.808,3050752493040.0,0.0008682667695242783,4.0,4.475668430328369,0.7132352941176471,0.8040201005025126,1.2806,318.602,5.466
64,3e-05,2,1,4388226,2048,10.7412,1365.961,21.599,3050752493040.0,0.0008737003623411573,4.0,4.4750075340271,0.7132352941176471,0.8040201005025126,1.3194,309.239,5.306
128,0.0003,2,1,4388226,2048,10.0388,1461.534,11.555,3184195795536.0,0.001104544848203659,4.0,4.479390621185303,0.7107843137254902,0.802675585284281,1.7646,231.208,2.267
128,0.0001,2,1,4388226,2048,9.9764,1470.676,11.627,3184195795536.0,0.0010519324448601953,4.0,4.475593090057373,0.7132352941176471,0.8040201005025126,1.2956,314.917,3.087
128,5e-05,2,1,4388226,2048,9.8713,1486.325,11.751,3184195795536.0,0.0010392342148156002,4.0,4.47481632232666,0.7132352941176471,0.8040201005025126,1.2638,322.829,3.165
128,3e-05,2,1,4388226,2048,9.847,1489.99,11.78,3184195795536.0,0.0010342057794332504,4.0,4.47450065612793,0.7132352941176471,0.8040201005025126,1.2974,314.464,3.083
8,0.0003,2,2,4388226,2048,23.8807,614.387,76.882,2622602779104.0,0.0012079591877821403,4.0,4.563617706298828,0.7009803921568627,0.7953020134228188,1.4878,274.222,34.278
