rank,alpha,batch_size,learning_rate,train_runtime,train_samples_per_second,train_steps_per_second,train_loss,epoch,eval_loss,eval_accuracy,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,total_parameters,trainable_parameters
1,16,16,3e-05,27.8028,527.717,33.09,0.593986295617145,4.0,0.5729727745056152,0.7034313725490197,0.8174962292609351,0.832,490.379,31.25,28772866,8192
1,16,32,0.0003,27.1175,541.054,16.963,0.6054503731105638,4.0,0.5909889340400696,0.6911764705882353,0.8061538461538461,0.8112,502.968,16.026,28772866,8192
1,16,32,0.0001,27.1598,540.21,16.937,0.5782602061396059,4.0,0.5462692379951477,0.7205882352941176,0.822429906542056,0.8122,502.335,16.006,28772866,8192
1,16,32,5e-05,27.0969,541.463,16.976,0.5935065228006114,4.0,0.5710474848747253,0.7034313725490197,0.8174962292609351,0.8141,501.166,15.969,28772866,8192
1,16,32,3e-05,27.088,541.643,16.982,0.6048179294752039,4.0,0.5861135125160217,0.6936274509803921,0.8131539611360239,0.8574,475.881,15.163,28772866,8192
1,16,64,0.0003,27.1561,540.284,8.543,0.5859264505320582,4.0,0.5752988457679749,0.7107843137254902,0.8179012345679012,0.8309,491.047,8.425,28772866,8192
1,16,64,0.0001,27.3022,537.393,8.497,0.5814772638781317,4.0,0.5558598637580872,0.7009803921568627,0.8123076923076923,0.8275,493.064,8.459,28772866,8192
1,16,64,5e-05,27.252,538.382,8.513,0.5969477686388739,4.0,0.5773159265518188,0.6985294117647058,0.8144796380090498,0.8066,505.847,8.679,28772866,8192
1,16,64,3e-05,27.3437,536.578,8.485,0.6091085631271889,4.0,0.5926259160041809,0.696078431372549,0.8143712574850299,0.8223,496.144,8.512,28772866,8192
1,16,128,0.0003,27.5191,533.158,4.215,0.5867852835819639,4.0,0.5751395225524902,0.6887254901960784,0.806697108066971,0.811,503.066,4.932,28772866,8192
1,16,128,0.0001,27.4975,533.576,4.219,0.5948047637939453,4.0,0.5782049298286438,0.7009803921568627,0.8157099697885196,0.8301,491.482,4.818,28772866,8192
1,16,128,5e-05,27.3669,536.123,4.239,0.6102400812609442,4.0,0.5898498892784119,0.6936274509803921,0.8131539611360239,0.8165,499.714,4.899,28772866,8192
1,16,128,3e-05,27.3889,535.692,4.235,0.6218574129301926,4.0,0.600795567035675,0.6936274509803921,0.8159057437407953,0.8248,494.647,4.849,28772866,8192
2,1,8,0.0003,33.2001,441.926,55.301,0.5879307832073801,4.0,0.5558878779411316,0.7230392156862745,0.8295625942684767,0.8708,468.561,58.57,28781058,16384
2,1,8,0.0001,33.2871,440.771,55.156,0.6197282462857647,4.0,0.6038578152656555,0.6838235294117647,0.8122270742358079,0.8546,477.409,59.676,28781058,16384
2,1,8,5e-05,33.2089,441.809,55.286,0.6329756011630455,4.0,0.6191470623016357,0.6838235294117647,0.8122270742358079,0.8437,483.607,60.451,28781058,16384
2,1,8,3e-05,33.2103,441.79,55.284,0.6402164035373263,4.0,0.6259907484054565,0.6838235294117647,0.8122270742358079,0.849,480.549,60.069,28781058,16384
2,1,16,0.0003,28.3333,517.836,32.471,0.6016697593357252,4.0,0.577795684337616,0.7058823529411765,0.8203592814371258,0.822,496.354,31.63,28781058,16384
2,1,16,0.0001,28.3427,517.665,32.46,0.6273767222528872,4.0,0.6119617819786072,0.6838235294117647,0.8122270742358079,1.4762,276.39,17.613,28781058,16384
2,1,16,5e-05,29.2945,500.844,31.405,0.6386888255243716,4.0,0.624708354473114,0.6838235294117647,0.8122270742358079,1.1499,354.815,22.611,28781058,16384
2,1,16,3e-05,28.5487,513.928,32.226,0.6448738761570143,4.0,0.6305137276649475,0.6838235294117647,0.8122270742358079,0.8089,504.39,32.142,28781058,16384
2,1,32,0.0003,28.0279,523.479,16.412,0.6131943412449049,4.0,0.588562548160553,0.6862745098039216,0.8134110787172012,0.7971,511.831,16.308,28781058,16384
2,1,32,0.0001,27.9541,524.861,16.456,0.6367050170898437,4.0,0.6209582090377808,0.6838235294117647,0.8122270742358079,0.8275,493.072,15.711,28781058,16384
2,1,32,5e-05,27.9067,525.751,16.483,0.6455740887185801,4.0,0.6295538544654846,0.6838235294117647,0.8122270742358079,1.1465,355.876,11.339,28781058,16384
2,1,32,3e-05,27.688,529.905,16.614,0.6523712821628737,4.0,0.6367640495300293,0.6838235294117647,0.8122270742358079,0.8207,497.139,15.84,28781058,16384
2,1,64,0.0003,27.8731,526.386,8.323,0.6218380763612944,4.0,0.6042685508728027,0.6838235294117647,0.8122270742358079,0.8216,496.596,8.52,28781058,16384
2,1,64,0.0001,27.7182,529.327,8.37,0.6408555261020003,4.0,0.6266289353370667,0.6838235294117647,0.8122270742358079,0.981,415.906,7.136,28781058,16384
2,1,64,5e-05,27.5863,531.858,8.41,0.6500556551176926,4.0,0.6358184814453125,0.6838235294117647,0.8122270742358079,0.993,410.88,7.049,28781058,16384
2,1,64,3e-05,27.5144,533.249,8.432,0.6573227849499933,4.0,0.6455755829811096,0.6838235294117647,0.8122270742358079,0.9919,411.324,7.057,28781058,16384
2,1,128,0.0003,27.584,531.902,4.205,0.6336056281780374,4.0,0.6174041032791138,0.6838235294117647,0.8122270742358079,0.8541,477.686,4.683,28781058,16384
2,1,128,0.0001,28.0332,523.379,4.138,0.6490654780946928,4.0,0.632891833782196,0.6838235294117647,0.8122270742358079,0.8438,483.556,4.741,28781058,16384
2,1,128,5e-05,27.6938,529.795,4.189,0.6591796217293575,4.0,0.6460486650466919,0.6838235294117647,0.8122270742358079,0.8407,485.328,4.758,28781058,16384
2,1,128,3e-05,27.5539,532.483,4.21,0.6650646472799366,4.0,0.6548673510551453,0.6813725490196079,0.8093841642228738,0.8355,488.309,4.787,28781058,16384
2,2,8,0.0003,33.0801,443.53,55.502,0.5720826940598831,4.0,0.5383884310722351,0.7352941176470589,0.8333333333333334,0.8619,473.387,59.173,28781058,16384
2,2,8,0.0001,33.0702,443.662,55.518,0.6040062332984409,4.0,0.5816137790679932,0.6911764705882353,0.8152492668621701,0.8613,473.69,59.211,28781058,16384
2,2,8,5e-05,33.1042,443.207,55.461,0.621764388738894,4.0,0.6064776182174683,0.6838235294117647,0.8122270742358079,0.8576,475.774,59.472,28781058,16384
2,2,8,3e-05,33.0402,444.065,55.569,0.6313483876080814,4.0,0.6177446842193604,0.6838235294117647,0.8122270742358079,0.8473,481.543,60.193,28781058,16384
2,2,16,0.0003,28.3301,517.894,32.474,0.5887552841849949,4.0,0.5558111667633057,0.7083333333333334,0.8194233687405159,0.8393,486.091,30.976,28781058,16384
2,2,16,0.0001,28.5326,514.219,32.244,0.6143275219461192,4.0,0.594842255115509,0.6838235294117647,0.8122270742358079,0.8059,506.272,32.262,28781058,16384
2,2,16,5e-05,28.7656,510.053,31.983,0.6289544146993886,4.0,0.61424320936203,0.6838235294117647,0.8122270742358079,0.9644,423.063,26.96,28781058,16384
2,2,16,3e-05,28.693,511.344,32.064,0.6372128362240999,4.0,0.6231369972229004,0.6838235294117647,0.8122270742358079,0.8713,468.267,29.841,28781058,16384
2,2,32,0.0003,27.4967,533.591,16.729,0.5980890025263247,4.0,0.569730818271637,0.7009803921568627,0.8162650602409639,0.8145,500.901,15.96,28781058,16384
2,2,32,0.0001,27.393,535.611,16.793,0.6241724428923233,4.0,0.6053428053855896,0.6838235294117647,0.8122270742358079,0.8304,491.329,15.655,28781058,16384
2,2,32,5e-05,27.5846,531.892,16.676,0.6371869294539741,4.0,0.6214724779129028,0.6838235294117647,0.8122270742358079,0.8061,506.132,16.127,28781058,16384
2,2,32,3e-05,27.4619,534.268,16.751,0.6437357363493547,4.0,0.6278577446937561,0.6838235294117647,0.8122270742358079,0.8252,494.418,15.754,28781058,16384
2,2,64,0.0003,27.5542,532.477,8.42,0.6049127249882139,4.0,0.5797855854034424,0.7058823529411765,0.8219584569732937,0.8162,499.848,8.576,28781058,16384
